Timestamp,AvailabilityZone,InstanceType,ProductDescription,SpotPrice,Timestamp,date_not_time
2024-10-23 17:01:47+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.073500,2024-10-23 17:01:47+00:00,2024-10-23
2024-10-23 23:03:50+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.073600,2024-10-23 23:03:50+00:00,2024-10-23
2024-10-24 02:18:45+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.073900,2024-10-24 02:18:45+00:00,2024-10-24
2024-10-24 05:46:47+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.074200,2024-10-24 05:46:47+00:00,2024-10-24
2024-10-24 11:17:27+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.073700,2024-10-24 11:17:27+00:00,2024-10-24
2024-10-24 18:47:28+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.073300,2024-10-24 18:47:28+00:00,2024-10-24
2024-10-24 23:33:32+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.073700,2024-10-24 23:33:32+00:00,2024-10-24
2024-10-25 22:17:32+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.074200,2024-10-25 22:17:32+00:00,2024-10-25
2024-10-25 15:18:30+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.074400,2024-10-25 15:18:30+00:00,2024-10-25
2024-10-25 04:47:35+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.073900,2024-10-25 04:47:35+00:00,2024-10-25
2024-10-25 09:32:56+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.074100,2024-10-25 09:32:56+00:00,2024-10-25
2024-10-26 10:47:37+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.074500,2024-10-26 10:47:37+00:00,2024-10-26
2024-10-26 15:01:40+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.074900,2024-10-26 15:01:40+00:00,2024-10-26
2024-10-26 18:47:38+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.073600,2024-10-26 18:47:38+00:00,2024-10-26
2024-10-26 23:47:47+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.073700,2024-10-26 23:47:47+00:00,2024-10-26
2024-10-27 18:48:21+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.071800,2024-10-27 18:48:21+00:00,2024-10-27
2024-10-27 03:03:23+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.073200,2024-10-27 03:03:23+00:00,2024-10-27
2024-10-27 13:31:37+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.072800,2024-10-27 13:31:37+00:00,2024-10-27
2024-10-28 01:03:34+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.071400,2024-10-28 01:03:34+00:00,2024-10-28
2024-10-28 08:16:36+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.069600,2024-10-28 08:16:36+00:00,2024-10-28
2024-10-28 15:17:44+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.069300,2024-10-28 15:17:44+00:00,2024-10-28
2024-10-29 12:17:35+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.068000,2024-10-29 12:17:35+00:00,2024-10-29
2024-10-29 18:02:17+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.068300,2024-10-29 18:02:17+00:00,2024-10-29
2024-10-29 00:03:44+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.067800,2024-10-29 00:03:44+00:00,2024-10-29
2024-10-29 04:18:12+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.068300,2024-10-29 04:18:12+00:00,2024-10-29
2024-10-30 13:32:29+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.066500,2024-10-30 13:32:29+00:00,2024-10-30
2024-10-30 22:32:44+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.066600,2024-10-30 22:32:44+00:00,2024-10-30
2024-10-30 00:18:30+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.066700,2024-10-30 00:18:30+00:00,2024-10-30
2024-10-30 04:32:36+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.066300,2024-10-30 04:32:36+00:00,2024-10-30
2024-10-31 06:33:29+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.066900,2024-10-31 06:33:29+00:00,2024-10-31
2024-10-31 15:33:41+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.067000,2024-10-31 15:33:41+00:00,2024-10-31
2024-11-01 00:17:32+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.067200,2024-11-01 00:17:32+00:00,2024-11-01
2024-11-01 08:32:52+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.067300,2024-11-01 08:32:52+00:00,2024-11-01
2024-11-01 16:32:28+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.067400,2024-11-01 16:32:28+00:00,2024-11-01
2024-11-02 00:32:22+00:00,us-west-2a,m2.xlarge,Linux/UNIX,0.067600,2024-11-02 00:32:22+00:00,2024-11-02
